Character,cm,ft,Bust,Band,Waist,Hip,Thigh,Bust,Band,Waist,Hip,Thigh,diff (in),UK,US,EU,Waist-Hip Ratio,Waist-height ratio,Waist-thigh ratio,Thigh-height ratio,Notes
Zhao,118,"3' 10""",40.5,38.0,36.7,63.5,42.5,15.9,15.0,14.4,25.0,16.7,1,15A,15A,28A,0.578,0.311,0.864,0.360,Torso measurements approximated due to clothing and a lack of data on rabbit thiren physiology
Norma,150,"4' 11""",50.3,45.2,38.4,69.3,41.6,19.8,17.8,15.1,27.3,16.4,3,18C,18C,36C,0.554,0.256,0.923,0.277,
Corin,141,"4' 8""",52.6,46.8,41.2,69.4,39.8,20.7,18.4,16.2,27.3,15.7,3,19C,19C,37C,0.594,0.292,1.035,0.282,Waist and hip approximated
Ju Fufu,142,"4' 8""",47.1,42.7,41.1,70.2,42.4,18.5,16.8,16.2,27.6,16.7,2,17B,17B,33B,0.585,0.289,0.969,0.299,Chest approximated due to clothing
Qingyi,142,"4' 8""",52.1,46.2,39.4,73.0,42.8,20.5,18.2,15.5,28.7,16.9,3,19C,19C,37C,0.540,0.277,0.921,0.301,
Soukaku,145,"4' 9""",47.3,43.6,40.0,68.5,37.7,18.6,17.2,15.7,27.0,14.8,2,18B,18B,34B,0.584,0.276,1.061,0.260,
Dialyn,145,"4' 9""",51.4,44.6,38.0,71.6,43.4,20.2,17.6,15.0,28.2,17.1,3,18C,18C,35C,0.531,0.262,0.876,0.299,
Nekomata,148,"4' 10""",51.9,46.5,39.8,67.4,39.8,20.4,18.3,15.7,26.5,15.7,3,19C,19C,37C,0.591,0.269,1.000,0.269,"Hip approximated, clothing too baggy for accurate reading"
Koleda,150,"4' 11""",50.0,46.4,39.7,66.1,??,19.7,18.3,15.6,26.0,??,2,19B,19B,37B,0.601,0.265,,,"Hip approximated, thigh impossible to measure"
Aria,150,"4' 11""",49.8,44.3,37.1,72.6,41.4,19.6,17.4,14.6,28.6,16.3,3,18C,18C,35C,0.511,0.247,0.896,0.276,
